company,date
(주)수진산업개발,20181119
(주)수호전기,20190503
(주)순수화장품,20190828
(주)스틸앤맨,20190411
(주)시스네트,20191127
(주)신광대리석,20190703
(주)신라바스,20181114
(주)신성에프엔씨,20190305
(주)신세명,20190611
(주)신영기업,20190724
(주)신우엘에스산업,20190110
(주)신진,20181102
(주)신천,20181102
(주)신화씨.엔.지,20190523
(주)쌍용영월산기,20190704
(주)써니,20190927
(주)썬케이,20190827
(주)씨엔에스인터,20191018
(주)아림지앤코,20181029
(주)아산이엔씨,20181004
(주)아이피티,20191004
(주)아트참,20190409
(주)알파에스엠코리아,20190604
(주)양원산업,20191107
(주)에스아이테크,20181004
(주)에스에스종합물류,20190618
(주)에스에스텍스타일,20191002
(주)에스에이치(SH),20191002
(주)에이스팜,20181206
(주)엔에이치티,20181107
(주)엔이더블유미래로,20181102
(주)엘루,20190306
(주)엘큐코리아,20190114
(주)엠플러스쇼핑,20190703
(주)영수산유통,20191113
(주)영신칼스토리,20190212
(주)영정물산,20190211
(주)영지피엠씨,20191204
(주)영진교역,20190729
(주)영창레포츠,20190102
(주)오로라유통,20190827
(주)오산농민마트,20181102
(주)오에이치,20191220
(주)올리앤올슨,20190503
(주)용전,20190424
(주)우농이엔지,20190828
(주)우리종합,20190422
(주)우성아이비,20181102
(주)우정건설산업,20191204
(주)우정기획,20191218
(주)우주상사,20190702
(주)울성상사,20190717
(주)웅지이엔지,20181126
(주)원파워,20191209
(주)윈테코,20191211
(주)유건,20191104
(주)유동에프씨,20191104
(주)유승상사,20190109
(주)은성개발,20190305
(주)을지,20180907
(주)이동수에프엔지,20190222
(주)이솔유통,20190208
(주)이엔산업,20181012
(주)이화실업,20191204
(주)인성,20190103
(주)인성에프앤피,20191113
(주)인일산업,20191017
(주)인플랜,20190305
(주)일만물유통,20180912
(주)일선상사,20181204
(주)일성유통,20190116
(주)일신마린써비스,20181102
(주)일진호이스트크레인,20190822
(주)재연상사,20190221
(주)정명케이블,20190703
(주)정안산업,20181005
(주)정일개발,20180919
(주)정일기업,20180919
(주)정일산업,20190610
(주)정한섬유,20190515
(주)제이앤컴퍼니,20190802
(주)제이앤피무역,20190918
(주)제이에이치무역,20180910
(주)제이엔테크,20191212
(주)제이와이인송산업,20191230
(주)조일마트,20190503
(주)지가캡,20190522
(주)지앤케이,20191224
(주)지엔비,20180914
(주)지향,20181218
(주)진미산업,20190612
(주)진산종합중기,20191002
(주)참다운푸드,20190722
(주)창영비앤비,20190725
(주)창원자동차학원,20190212
(주)챔피온,20191205
(주)첨단부품,20190517
(주)청솔식품,20180912
(주)청정에드원,20190520
(주)초록이노텍,20190517
(주)초록푸드시스템,20190327
(주)충언건영,20190904
(주)커먼컴,20190607
(주)케이비현앤장,20190522
(주)코리아산업,20190201
(주)코빅건설,20190207
(주)코지,20191106
(주)코튼코리아,20190410
(주)크린랩라텍스,20190809
(주)타임스포츠,20190918
(주)탐라,20190429
(주)태성건설,20190103
(주)태승섬유,20190103
(주)태양그로윙,20190228
(주)태우테크,20190117
(주)태정아이엔디,20190228
(주)태천,20190412
(주)태화석재,20190703
(주)태화화스너,20191104
(주)테이크씨,20190509
(주)통일목재,20181024
(주)티엠코리아,20190117
(주)티케이씨,20190213
(주)퍼펙트마케팅,20190107
(주)평산유통,20191204
(주)풍산디에스,20190828
(주)플러스디자인,20181227
(주)플러스인테리어디자인,20190207
(주)피알,20190304
(주)피플엠,20190724
(주)필아테크,20190228
(주)하나마트,20180904
(주)하이스코,20190228
(주)하이테크노쎌,20180912
(주)하이파오피스,20190207
(주)학표벽지,20191023
(주)한건티엔씨,20190114
(주)한국세륜기,20190521
(주)한라엠케이산업,20190718
(주)한백에프앤씨,20190308
(주)한양전선,20191113
(주)한일세미컴,20190920
(주)한일의료기,20190613
(주)한일전기,20190502
(주)해피로이앤씨,20190214
(주)핸즈이노베이션,20181030
(주)현경이엔씨,20190103
(주)현대산기,20191204
(주)현대유리,20191002
(주)현대패널,20190116
(주)호산세라믹스,20190709
(주)화산,20190123
(주)화성스틸판넬,20181212
(주)화신산업,20181203
(주)화인토일리트리,20190604
(주)화제신문,20190802
(주)황성산업,20190125
(주)흥해종합건설,20190814
(주)흥화,20181217
<주>한미프렉시블,20181102
HHICPHILKOREA주식회사,20190115
강일약품(주),20181017
거원산업(주),20180905
건양개발주식회사,20190924
국도골재(합자),20191017
굿모닝기룡건설(주),20190702
극동택시(주),20190103
금아기전(주),20190412
금정제십이차(주),20181113
금호기술(주),20190604
기영엔지니어링<주>,20190904
기영항업(주),20191002
나인주택건설(주),20180910
농업법인(주)더부러,20190208
농업회사법인(유)미,20191002
농업회사법인(주)건농,20191231
농업회사법인(주)대용축산,20190221
농업회사법인(주)보금,20190820
농업회사법인(주)지천글로벌,20191226
농업회사법인(주)청풍미트,20190422
농업회사법인킹스테이블(주),20190925
대경안전유리(주),20190502
대덕이엔씨(주),20190207
대동커튼월(주),20190226
대명산업(주),20181114
대선건설(주),20190717
대성전력(주),20181227
대아정공(주),20191004
대양영농조합,20181119
대양주류(유),20190103
대영종합건설(주),20191030
대유중공업(주),20190114
대유플랜트(주),20190402
대은주류(주),20190103
대익건설(주),20190822
대한강재(주),20191108
대화공영(주),20190522
덕수철강(주),20180904
도량기업(주),20190503
동명건설(주),20180904
동북건설<주>,20190807
동신수산(주),20190906
동아화이어테크(주),20190729
디엑스스퀘어드(주),20181001
라인씨스템(주),20190704
명성약품(주),20190103
미다스(주),20190626
미래공조플랜트(주),20190801
미래실업(주),20190520
미래파트너스(주),20180927
미소건설(주),20181207
배성물산(주),20190219
부광엔지니어링(주),20190717
부울경산업(주),20180927
비엠글로벌(주),20190319
상보건설(주),20190927
서진설비(주),20190312
서현스틸(주),20190531
석달(주),20191212
선우산업(주),20180928
성명산업(유),20190415
세원건설(주),20181102
세원목재(주),20190107
세존상사(주),20181102
신평유기(주),20191119
신흥설비(주),20190227
아강테크(주),20190626
아이타올(주),20180927
안동석건(주),20190701
안동석재산업(주),20190701
에스에이에스(주),20181019
에스에이치엠(주),20181019
에이티아이유통(주),20190208
엠앤에스산업(주),20190118
엠에이치건설(주),20190425
영지산업(주),20190117
영창건업(주),20190424
와일드마운틴(주),20190903
용마철강(주),20190307
우리이엔씨(주),20190612
우주소방전기(주),20181212
우진중공업(주),20181031
위더스앤플랜(주),20190703
위캔글로벌(주),20181123
유복전기(주),20190904
유승종합건설(주),20190611
율원약품(주),20190403
의료법인성석의료재단,20190909
의료법인애민의료재단,20190103
이선케이블(주),20181219
이오제이이앤씨(주),20190320
일성전장(주),20191231
재영실업(주),20190710
정석건업(주),20191218
제이알철강(주),20181207
제이엠유통(주),20180906
주)태백광업,20180904
지웅전기(주),20190503
진우창호(주),20190522
철인종합건설(주),20191202
청솔아이엔에스(주),20191119
칼텍(주),20190503
케이디데니스패션(주),20191002
케이씨피(주),20181122
케이아이유통(주),20190604
케이엠에프(주),20190703
코리아팜(주),20180921
탐라도서(주),20190306
태경산업개발(주),20190619
토고(주),20181001
통일경제(주),20190213
통일운수(합자),20190508
피알캠(주),20190304
하이코건설(주),20190122
한겨레건설(주),20190703
한국마그넷(주),20190802
한국메디케어(주),20181004
한독건설(주),20181204
한성기업<주>,20190702
한성약품(주),20190503
한성엔지니어링(주),20190522
한아종합기술(주),20191114
한영콘트롤(주),20190604
한일엠이써비스(주),20190123
한일전설(주),20181102
호산이엔지(주),20190618
홍익엔지니어링(주),20190402
홍주실업(주),20181024
화신산업(주),20191126
효진종합건설(주),20181204
JS무역,20180907
